trade_date,jq_top10_raw,is_weak,candidates_json,local_target,jq_target,target_match,local_top1
2021-06-30,"515790.XSHG:4.6257,516160.XSHG:3.5778,515030.XSHG:2.8911,588080.XSHG:2.7185,515050.XSHG:2.1620,516520.XSHG:2.1024,501018.XSHG:1.9258,159851.XSHE:1.4671,515880.XSHG:1.2431,513100.XSHG:1.2335",False,"[{""symbol"": ""515790"", ""rank"": 1, ""momentum_score"": 4.658813533676045, ""annualized_return"": 6.300993702690984, ""r_squared"": 0.7393775892342809, ""close"": 1.353}, {""symbol"": ""159885"", ""rank"": 2, ""momentum_score"": 4.198539526442841, ""annualized_return"": 5.1635874044640735, ""r_squared"": 0.8131051529820295, ""close"": 0.9050915451895044}]",515790,515790,True,515790
2021-07-01,"516160.XSHG:3.9691,515030.XSHG:3.0710,588080.XSHG:2.7978,515050.XSHG:2.3563,516520.XSHG:2.3291,501018.XSHG:1.8201,159967.XSHE:1.5898,513100.XSHG:1.4113,159851.XSHE:1.2879,515880.XSHG:1.0622",False,"[{""symbol"": ""159885"", ""rank"": 1, ""momentum_score"": 4.599794047969482, ""annualized_return"": 5.545803555467866, ""r_squared"": 0.8294188573330065, ""close"": 0.8871755102040816}]",159885,516160,False,159885
2021-07-02,"516160.XSHG:3.8479,515030.XSHG:3.0622,588080.XSHG:2.4260,516520.XSHG:2.0813,501018.XSHG:1.8692,515050.XSHG:1.8631,159967.XSHE:1.6588,513100.XSHG:1.5181,159949.XSHE:0.8476,515980.XSHG:0.7789",False,"[{""symbol"": ""159885"", ""rank"": 1, ""momentum_score"": 4.308937984071932, ""annualized_return"": 5.223709374783617, ""r_squared"": 0.8248808796431983, ""close"": 0.8719137026239067}]",159885,516160,False,159885
2021-07-05,"501018.XSHG:1.7752,513100.XSHG:1.6600,513500.XSHG:0.4947",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 1.8223041128537267, ""annualized_return"": 1.935109742619992, ""r_squared"": 0.9417058230436405, ""close"": 0.85}]",501018,501018,True,501018
2021-07-06,"501018.XSHG:1.8776,513100.XSHG:1.7355,513500.XSHG:0.5642",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 1.8871362402857248, ""annualized_return"": 2.002993907074557, ""r_squared"": 0.942157753760696, ""close"": 0.864}]",501018,501018,True,501018
2021-07-07,"513100.XSHG:1.8241,513500.XSHG:0.6220",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 1.70807358725728, ""annualized_return"": 1.8325023570850787, ""r_squared"": 0.9320989851135991, ""close"": 0.848}]",501018,513100,False,501018
2021-07-08,"513100.XSHG:1.8475,513500.XSHG:0.6507",True,[],511880,513100,False,511880
2021-07-09,"513100.XSHG:1.7055,513500.XSHG:0.6193,159985.XSHE:0.0044,159980.XSHE:0.0000",True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.0045854188134740155, ""annualized_return"": 0.33301013217650133, ""r_squared"": 0.013769607499641068, ""close"": 1.285}]",159985,513100,False,159985
2021-07-12,"513100.XSHG:1.7082,513500.XSHG:0.6624,159985.XSHE:0.0233,159980.XSHE:0.0161",True,"[{""symbol"": ""159980"", ""rank"": 1, ""momentum_score"": 0.013227999462532114, ""annualized_return"": 0.19969415000479085, ""r_squared"": 0.06624129681422697, ""close"": 1.361}]",159980,513100,False,159980
2021-07-13,"159967.XSHE:2.7990,512400.XSHG:2.3465,516520.XSHG:2.3324,588080.XSHG:1.8780,159949.XSHE:1.6208,513100.XSHG:1.6124,159870.XSHE:1.2649,159915.XSHE:0.9440,515050.XSHG:0.9425,513500.XSHG:0.6954",False,"[{""symbol"": ""516960"", ""rank"": 1, ""momentum_score"": 4.346274953063523, ""annualized_return"": 4.926327317911433, ""r_squared"": 0.8822546031931494, ""close"": 1.206}]",516960,159967,False,516960
2021-07-14,"159967.XSHE:2.8932,516520.XSHG:1.9879,159870.XSHE:1.8984,159949.XSHE:1.7750,588080.XSHG:1.6249,513100.XSHG:1.4926,159915.XSHE:1.1050,512100.XSHG:0.8406,515050.XSHG:0.7030,513500.XSHG:0.6946",False,"[{""symbol"": ""516960"", ""rank"": 1, ""momentum_score"": 4.086756886698108, ""annualized_return"": 4.655612563057387, ""r_squared"": 0.877812926085562, ""close"": 1.183}]",516960,159967,False,516960
