date,requested,fetched,total_cached
2023-09-28,114,87,114
2023-10-09,114,87,114
2023-10-10,114,87,114
2023-10-11,114,87,114
2023-10-12,114,87,114
2023-10-13,114,87,114
2023-10-16,114,88,114
2023-10-17,114,88,114
2023-10-18,114,88,114
2023-10-19,114,88,114
2023-10-20,114,88,114
2023-10-23,114,89,114
2023-10-24,114,89,114
2023-10-25,114,89,114
2023-10-26,114,89,114
2023-10-27,114,89,114
2023-10-30,114,89,114
2023-10-31,114,89,114
2023-11-01,114,89,114
2023-11-02,114,89,114
2023-11-03,114,90,114
2023-11-06,114,91,114
2023-11-07,114,91,114
2023-11-08,114,91,114
2023-11-09,114,91,114
2023-11-10,114,91,114
2023-11-13,114,91,114
2023-11-14,114,91,114
2023-11-15,114,91,114
2023-11-16,114,91,114
2023-11-17,114,91,114
2023-11-20,114,92,114
2023-11-21,114,92,114
2023-11-22,114,92,114
2023-11-23,114,92,114
2023-11-24,114,92,114
2023-11-27,114,92,114
2023-11-28,114,92,114
2023-11-29,114,92,114
2023-11-30,114,93,114
2023-12-01,114,94,114
2023-12-04,114,94,114
2023-12-05,114,94,114
2023-12-06,114,94,114
2023-12-07,114,94,114
2023-12-08,114,94,114
2023-12-11,114,94,114
2023-12-12,114,94,114
2023-12-13,114,95,114
2023-12-14,114,95,114
2023-12-15,114,95,114
2023-12-18,114,95,114
2023-12-19,114,95,114
2023-12-20,114,95,114
2023-12-21,114,95,114
2023-12-22,114,95,114
2023-12-25,114,95,114
2023-12-26,114,95,114
2023-12-27,114,95,114
2023-12-28,114,95,114
2023-12-29,114,95,114
2024-01-02,114,95,114
2024-01-03,114,95,114
2024-01-04,114,95,114
2024-01-05,114,95,114
2024-01-08,114,95,114
2024-01-09,114,95,114
2024-01-10,114,96,114
2024-01-11,114,96,114
2024-01-12,114,96,114
2024-01-15,114,97,114
2024-01-16,114,97,114
2024-01-17,114,97,114
2024-01-18,114,97,114
2024-01-19,114,97,114
2024-01-22,114,97,114
2024-01-23,114,97,114
2024-01-24,114,97,114
2024-01-25,114,97,114
2024-01-26,114,97,114
2024-01-29,114,97,114
2024-01-30,114,97,114
2024-01-31,114,97,114
2024-02-01,114,97,114
2024-02-02,114,97,114
2024-02-05,114,97,114
2024-02-06,114,97,114
2024-02-07,114,99,114
2024-02-08,114,99,114
2024-02-19,114,99,114
2024-02-20,114,99,114
2024-02-21,114,100,114
2024-02-22,114,100,114
2024-02-23,114,100,114
2024-02-26,114,100,114
2024-02-27,114,100,114
2024-02-28,114,100,114
2024-02-29,114,100,114
2024-03-01,114,100,114
2024-03-04,114,100,114
2024-03-05,114,100,114
2024-03-06,114,100,114
2024-03-07,114,100,114
2024-03-08,114,100,114
2024-03-11,114,100,114
2024-03-12,114,100,114
2024-03-13,114,100,114
2024-03-14,114,100,114
2024-03-15,114,100,114
2024-03-18,114,100,114
2024-03-19,114,100,114
2024-03-20,114,100,114
2024-03-21,114,100,114
2024-03-22,114,100,114
2024-03-25,114,100,114
2024-03-26,114,100,114
2024-03-27,114,100,114
2024-03-28,114,100,114
2024-03-29,114,100,114
2024-04-01,114,100,114
2024-04-02,114,100,114
2024-04-03,114,100,114
2024-04-08,114,100,114
2024-04-09,114,100,114
2024-04-10,114,100,114
2024-04-11,114,100,114
2024-04-12,114,100,114
2024-04-15,114,100,114
2024-04-16,114,100,114
2024-04-17,114,100,114
2024-04-18,114,100,114
2024-04-19,114,100,114
2024-04-22,114,100,114
2024-04-23,114,100,114
2024-04-24,114,100,114
2024-04-25,114,100,114
2024-04-26,114,100,114
2024-04-29,114,100,114
2024-04-30,114,100,114
2024-05-06,114,100,114
2024-05-07,114,100,114
2024-05-08,114,100,114
2024-05-09,114,100,114
2024-05-10,114,100,114
2024-05-13,114,100,114
2024-05-14,114,100,114
2024-05-15,114,100,114
2024-05-16,114,100,114
2024-05-17,114,100,114
2024-05-20,114,100,114
2024-05-21,114,100,114
2024-05-22,114,100,114
2024-05-23,114,100,114
2024-05-24,114,100,114
2024-05-27,114,100,114
2024-05-28,114,100,114
2024-05-29,114,100,114
2024-05-30,114,100,114
2024-05-31,114,100,114
2024-06-03,114,100,114
2024-06-04,114,100,114
