date,ths_time,ths_target,ths_top10,jq_time,jq_target,jq_top10,signal_target_match,top1_match,top10_overlap
2020-07-07,13:10:00,159928,"['159928', '159998', '515030', '512200', '510300', '515980', '512980', '510500', '512400', '515880']",13:10:00,159928,"['159928', '159998', '515030', '512200', '510300', '515980', '512980', '510500', '512400', '515880']",True,True,10
2020-07-08,13:10:00,515030,"['515030', '510300', '515980', '512400', '512980', '510500', '512100', '515880', '512710', '512890']",13:10:00,515030,"['515030', '510300', '515980', '512400', '512980', '510500', '512100', '515880', '512710', '512890']",True,True,10
2020-07-09,13:10:00,512710,"['512710', '510500', '512670', '512980', '512100', '515880', '512660', '512890', '515210', '512800']",13:10:00,512710,"['512710', '510500', '512670', '512980', '512100', '515880', '512660', '512890', '515210', '512800']",True,True,10
2020-07-10,13:10:00,512890,"['512890', '512800', '510880', '159980', '511380', '510900', '518880', '159985', '159981']",13:10:00,512890,"['512890', '512800', '510880', '159980', '511380', '510900', '518880', '159985', '159981']",True,True,9
2020-07-13,13:10:00,512890,"['512890', '510880', '159980', '511380', '510900', '518880', '161226', '159985', '159981']",13:10:00,512890,"['512890', '510880', '159980', '511380', '510900', '518880', '161226', '159985', '159981']",True,True,9
2020-07-14,13:10:00,510880,"['510880', '159980', '511380', '510900', '161226', '518880', '159985', '159981']",13:10:00,510880,"['510880', '159980', '511380', '510900', '161226', '518880', '159985', '159981']",True,True,8
2020-07-15,13:10:00,510880,"['510880', '512800', '159980', '511380', '510900', '161226', '518880', '159985', '159981', '513100']",13:10:00,510880,"['510880', '512800', '159980', '511380', '510900', '161226', '518880', '159985', '159981', '513100']",True,True,10
2020-07-16,13:10:00,510880,"['510880', '512800', '159980', '511380', '161226', '510900', '159981', '518880', '159985', '513100']",13:10:00,510880,"['510880', '512800', '159980', '511380', '161226', '510900', '159981', '518880', '159985', '513100']",True,True,10
2020-07-17,13:10:00,161226,"['161226', '513030', '513500']",13:10:00,159980,"['159980', '161226', '513030', '513500']",False,False,3
2020-07-20,13:10:00,161226,"['161226', '513030', '159985', '513500']",13:10:00,161226,"['161226', '513030', '159985', '513500']",True,True,4
2020-07-21,13:10:00,161226,"['161226', '159980', '513030', '159985', '513100', '513500', '518880', '513520']",13:10:00,161226,"['161226', '159980', '513030', '159985', '513100', '513500', '518880', '513520']",True,True,8
2020-07-22,13:10:00,161226,"['161226', '159980', '513030', '159985', '513100', '513500', '518880', '513520']",13:10:00,161226,"['161226', '159980', '513030', '159985', '513100', '513500', '518880', '513520']",True,True,8
2020-07-23,13:10:00,513090,"['513090', '512170', '512100', '159995', '512890', '510300', '510500', '515220', '512480', '161226']",13:10:00,513090,"['513090', '512170', '512100', '159995', '512890', '510300', '510500', '515220', '512480', '161226']",True,True,10
