date,value,positions,positions_raw
2023-04-19,4783945.88,['512480'],512480.XSHG:4534300:4774617.90
2023-04-20,4959562.92,['512980'],512980.XSHG:5369000:4950218.00
2023-04-21,4730363.72,['161226'],161226.XSHE:6286700:4721311.70
2023-04-24,4692500.38,['513030'],513030.XSHG:3925800:4683479.40
2023-04-25,4743529.58,['513030'],513030.XSHG:3925400:4734032.40
2023-04-26,4719977.18,['513030'],513030.XSHG:3925400:4710480.00
2023-04-27,4707117.61,"['513030', '161226']",513030.XSHG:412600:494294.80|161226.XSHE:5595200:4213185.60
2023-04-28,4716635.83,['513030'],513030.XSHG:3897000:4707576.00
2023-05-04,4652577.79,['161226'],161226.XSHE:6038600:4643683.40
2023-05-05,4718996.69,['161226'],161226.XSHE:6037900:4709562.00
2023-05-08,4664650.49,['161226'],161226.XSHE:6038000:4655298.00
2023-05-09,4634460.49,['161226'],161226.XSHE:6038000:4625108.00
2023-05-10,4658612.49,['161226'],161226.XSHE:6038000:4649260.00
2023-05-11,4639755.73,['513520'],513520.XSHG:4055100:4630924.20
2023-05-12,4749232.43,['513520'],513520.XSHG:4054600:4739827.40
2023-05-15,4745172.53,['513520'],513520.XSHG:4054500:4735656.00
2023-05-16,4753281.53,['513520'],513520.XSHG:4054500:4743765.00
2023-05-17,4927616.43,['513520'],513520.XSHG:4054200:4917744.60
2023-05-18,5239778.43,['513520'],513520.XSHG:4053800:5229402.00
2023-05-19,5669463.63,['513520'],513520.XSHG:4053200:5658267.20
2023-05-22,5283354.98,['513100'],513100.XSHG:5359000:5273256.00
2023-05-23,5326223.18,['513100'],513100.XSHG:5358400:5315532.80
2023-05-24,5245841.88,['513100'],513100.XSHG:5358500:5235254.50
2023-05-25,5331572.38,['513100'],513100.XSHG:5358400:5320891.20
2023-05-26,5347642.48,['513100'],513100.XSHG:5358300:5336866.80
2023-05-29,5540535.68,['513100'],513100.XSHG:5358000:5529456.00
2023-05-30,5556604.58,['513100'],513100.XSHG:5357900:5545426.50
2023-05-31,5535172.98,['513100'],513100.XSHG:5357900:5523994.90
2023-06-01,5529810.28,['513100'],513100.XSHG:5358000:5518740.00
2023-06-02,5599459.08,['513100'],513100.XSHG:5357800:5588185.40
2023-06-05,5626248.08,['513100'],513100.XSHG:5357800:5614974.40
2023-06-06,5631600.98,['513100'],513100.XSHG:5357700:5620227.30
2023-06-07,5647674.08,['513100'],513100.XSHG:5357700:5636300.40
2023-06-08,5531708.69,['513500'],513500.XSHG:3852800:5521062.40
2023-06-09,5569124.88,['513100'],513100.XSHG:5309000:5558523.00
2023-06-12,5632826.08,['513100'],513100.XSHG:5308400:5621595.60
2023-06-13,5792039.49,['515880'],515880.XSHG:4841800:5781109.20
2023-06-14,5913075.99,['515880'],515880.XSHG:4841100:5901300.90
2023-06-15,5946142.89,['516510'],516510.XSHG:4766900:5934790.50
2023-06-16,6213077.89,['516510'],516510.XSHG:4766100:6200696.10
2023-06-19,6416532.45,['515050'],515050.XSHG:5801100:6404414.40
2023-06-20,6401608.48,['516190'],516190.XSHG:2199400:2874615.80
2023-06-21,6164058.4,['159852'],159852.XSHE:5659700:6152093.90
2023-06-26,5840082.21,['516520'],516520.XSHG:6109800:5828749.20
2023-06-27,5857242.29,['159985'],159985.XSHE:3076900:5846110.00
2023-06-28,5835699.29,['159985'],159985.XSHE:3076600:5824003.80
2023-06-29,5820316.29,['159985'],159985.XSHE:3076600:5808620.80
2023-06-30,5860312.09,['159985'],159985.XSHE:3076600:5848616.60
2023-07-03,6324863.69,['159985'],159985.XSHE:3076100:6312157.20
2023-07-04,6155713.85,['515880'],515880.XSHG:4704400:6143946.40
2023-07-05,6096948.91,['159985'],159985.XSHE:3014000:6085266.00
2023-07-06,6090913.81,['159985'],159985.XSHE:3013700:6078632.90
2023-07-07,6057763.11,['159985'],159985.XSHE:3013700:6045482.20
2023-07-10,6063787.51,['159985'],159985.XSHE:3013800:6051710.40
2023-07-11,6090907.61,['159985'],159985.XSHE:3013700:6078632.90
2023-07-12,6190355.01,['159985'],159985.XSHE:3013600:6177880.00
2023-07-13,6145146.51,['159985'],159985.XSHE:3013700:6132879.50
2023-07-14,6148157.21,['159985'],159985.XSHE:3013600:6135689.60
2023-07-17,6208429.21,['159985'],159985.XSHE:3013600:6195961.60
2023-07-18,6217466.51,['159985'],159985.XSHE:3013500:6204796.50
2023-07-19,6359101.01,['159985'],159985.XSHE:3013500:6346431.00
2023-07-20,6404297.61,['159985'],159985.XSHE:3013400:6391421.40
